race_id	date	race_type	around	course_len	weather	ground_state	race_class	place
202405050701	2024-11-23	0	1.0	1600	0.0	1	1	5
202405050702	2024-11-23	1	1.0	1400	0.0	0	1	5
202405050703	2024-11-23	1	1.0	1800	0.0	0	1	5
202405050704	2024-11-23	0	1.0	1400	0.0	1	0	5
202405050705	2024-11-23	1	1.0	1600	0.0	0	0	5
202405050706	2024-11-23	0	1.0	1600	0.0	1	2	5
202405050707	2024-11-23	1	1.0	2400	0.0	0	2	5
202405050708	2024-11-23	0	1.0	2100	0.0	1	3	5
202405050709	2024-11-23	0	1.0	1600	0.0	1	5	5
202405050710	2024-11-23	0	1.0	1400	0.0	1	4	5
202405050711	2024-11-23	1	1.0	1600	0.0	0	5	5
202405050712	2024-11-23	1	1.0	1600	0.0	0	3	5
202408060701	2024-11-23	0	0.0	1400	1.0	0	1	8
202408060702	2024-11-23	0	0.0	1800	1.0	0	1	8
202408060703	2024-11-23	1	0.0	2000	1.0	0	1	8
202408060704	2024-11-23	3		2910	1.0	0	1	8
202408060705	2024-11-23	1	0.0	1600	1.0	0	0	8
202408060706	2024-11-23	0	0.0	1800	1.0	0	0	8
202408060707	2024-11-23	0	0.0	1200	1.0	0	2	8
202408060708	2024-11-23	0	0.0	1900	1.0	0	2	8
202408060709	2024-11-23	0	0.0	1800	1.0	0	5	8
202408060710	2024-11-23	1	0.0	2200	1.0	0	3	8
202408060711	2024-11-23	1	0.0	2000	1.0	0	6	8
202408060712	2024-11-23	1	0.0	1200	1.0	0	3	8
202405050801	2024-11-24	0	1.0	1400	0.0	0	1	5
202405050802	2024-11-24	1	1.0	1600	0.0	0	1	5
202405050803	2024-11-24	0	1.0	1600	0.0	0	1	5
202405050804	2024-11-24	1	1.0	2000	0.0	0	1	5
202405050805	2024-11-24	0	1.0	1600	0.0	0	0	5
202405050806	2024-11-24	1	1.0	1800	0.0	0	0	5
202405050807	2024-11-24	0	1.0	1400	0.0	0	2	5
202405050808	2024-11-24	1	1.0	1600	0.0	0	2	5
202405050809	2024-11-24	1	1.0	2000	0.0	0	3	5
202405050810	2024-11-24	0	1.0	1400	0.0	0	3	5
202405050811	2024-11-24	1	1.0	2000	0.0	0	4	5
202405050812	2024-11-24	1	1.0	2400	0.0	0	8	5
202408060801	2024-11-24	0	0.0	1200	1.0	0	1	8
202408060802	2024-11-24	0	0.0	1800	1.0	0	1	8
202408060803	2024-11-24	1	0.0	1600	1.0	0	1	8
202408060804	2024-11-24	0	0.0	1400	1.0	0	0	8
202408060805	2024-11-24	0	0.0	1800	1.0	0	2	8
202408060806	2024-11-24	1	0.0	2000	1.0	0	0	8
202408060807	2024-11-24	1	0.0	1800	1.0	0	2	8
202408060808	2024-11-24	0	0.0	1400	1.0	0	3	8
202408060809	2024-11-24	0	0.0	1800	1.0	0	4	8
202408060810	2024-11-24	1	0.0	1600	1.0	0	4	8
202408060811	2024-11-24	0	0.0	1900	1.0	0	5	8
202408060812	2024-11-24	1	0.0	1200	1.0	0	6	8
202406050701	2024-12-21	0	0.0	1200	0.0	0	1	6
202406050702	2024-12-21	0	0.0	1800	0.0	0	1	6
202406050703	2024-12-21	1	0.0	1600	0.0	0	1	6
202406050704	2024-12-21	0	0.0	1800	0.0	0	1	6
202406050705	2024-12-21	1	0.0	1800	0.0	0	0	6
202406050706	2024-12-21	0	0.0	1800	0.0	0	0	6
202406050707	2024-12-21	0	0.0	1200	0.0	0	2	6
202406050708	2024-12-21	0	0.0	1200	0.0	0	2	6
202406050709	2024-12-21	1	0.0	2200	0.0	0	2	6
202406050710	2024-12-21	3		4100	0.0	0	8	6
202406050711	2024-12-21	1	0.0	2500	0.0	0	4	6
202406050712	2024-12-21	1	0.0	1200	0.0	0	3	6
202408070701	2024-12-21	0	0.0	1800	1.0	0	1	8
202408070702	2024-12-21	0	0.0	1200	1.0	0	1	8
202408070703	2024-12-21	0	0.0	1800	1.0	0	1	8
202408070704	2024-12-21	1	0.0	2000	1.0	0	1	8
202408070705	2024-12-21	1	0.0	1600	1.0	0	0	8
202408070706	2024-12-21	0	0.0	1400	1.0	0	0	8
202408070707	2024-12-21	0	0.0	1800	1.0	0	2	8
202408070708	2024-12-21	0	0.0	1400	1.0	0	2	8
202408070709	2024-12-21	1	0.0	1400	1.0	0	2	8
202408070710	2024-12-21	0	0.0	1800	1.0	0	4	8
202408070711	2024-12-21	1	0.0	1400	1.0	0	7	8
202408070712	2024-12-21	1	0.0	1800	1.0	0	3	8
202406050801	2024-12-22	0	0.0	1200	0.0	0	1	6
202406050802	2024-12-22	0	0.0	1800	0.0	0	1	6
202406050803	2024-12-22	1	0.0	1200	0.0	0	1	6
202406050804	2024-12-22	1	0.0	2000	0.0	0	1	6
202406050805	2024-12-22	0	0.0	1200	0.0	0	0	6
202406050806	2024-12-22	1	0.0	1600	0.0	0	0	6
202406050807	2024-12-22	0	0.0	1800	0.0	0	2	6
202406050808	2024-12-22	0	0.0	1200	0.0	0	5	6
202406050809	2024-12-22	1	0.0	2500	0.0	0	3	6
202406050810	2024-12-22	1	0.0	1600	0.0	0	3	6
202406050811	2024-12-22	1	0.0	2500	0.0	0	8	6
202406050812	2024-12-22	0	0.0	1200	0.0	0	4	6
202408070801	2024-12-22	0	0.0	1400	1.0	0	1	8
202408070802	2024-12-22	1	0.0	1600	1.0	0	1	8
202408070803	2024-12-22	1	0.0	1400	1.0	0	1	8
202408070804	2024-12-22	0	0.0	1800	1.0	0	0	8
202408070805	2024-12-22	3		2910	1.0	0	1	8
202408070806	2024-12-22	1	0.0	1800	1.0	0	0	8
202408070807	2024-12-22	0	0.0	1200	0.0	0	2	8
202408070808	2024-12-22	0	0.0	1400	0.0	0	3	8
202408070809	2024-12-22	0	0.0	1800	0.0	0	3	8
202408070810	2024-12-22	1	0.0	2000	0.0	0	4	8
202408070811	2024-12-22	0	0.0	1200	0.0	0	5	8
202408070812	2024-12-22	1	0.0	1400	0.0	0	3	8
